Project_ID,Industry,Agent_Type,Primary_Tool,Status,Failure_Reason,Human_in_the_Loop_Ratio,Tokens_per_Task,ROI_Score
AGP-0082,Retail,Multi-agent Swarm,CrewAI,Abandoned,Cost Overrun,0.637,3036,-0.7
AGP-0083,Energy,Autonomous,LangGraph,Pilot,Security Violation,0.168,4529,0.68
AGP-0084,Healthcare,Autonomous,LangGraph,Abandoned,Schema Drift,0.172,3581,0.09
AGP-0085,Finance,Autonomous,AutoGPT 3.0,Abandoned,Loop Error,0.11,2709,-0.67
AGP-0086,Finance,Assistant,LangGraph,Pilot,Loop Error,0.818,4325,0.67
AGP-0087,Technology,Autonomous,AutoGPT 3.0,Pilot,Cost Overrun,0.104,7230,0.99
AGP-0088,Retail,Autonomous,LangGraph,Abandoned,Loop Error,0.063,4494,-0.84
AGP-0089,Healthcare,Assistant,AutoGPT 3.0,Production,,0.856,7567,3.9
AGP-0090,Manufacturing,Assistant,LangGraph,Pilot,Loop Error,0.729,4071,-0.29
AGP-0091,Finance,Multi-agent Swarm,LangGraph,Pilot,Cost Overrun,0.32,4028,-0.19
AGP-0092,Technology,Multi-agent Swarm,AutoGPT 3.0,Abandoned,Cost Overrun,0.69,8084,0.39
AGP-0093,Retail,Assistant,LangGraph,Abandoned,Schema Drift,0.906,4615,-0.73
AGP-0094,Retail,Autonomous,LangGraph,Abandoned,Security Violation,0.316,3587,-0.98
AGP-0095,Legal,Autonomous,AutoGPT 3.0,Abandoned,Loop Error,0.218,4117,-0.11
AGP-0096,Technology,Multi-agent Swarm,CrewAI,Abandoned,Loop Error,0.534,3880,-0.53
AGP-0097,Legal,Autonomous,CrewAI,Pilot,Loop Error,0.478,3374,0.71
AGP-0098,Finance,Assistant,CrewAI,Abandoned,Loop Error,0.924,5458,-0.47
AGP-0099,Finance,Multi-agent Swarm,AutoGPT 3.0,Pilot,Cost Overrun,0.62,7339,-0.2
AGP-0100,Telecom,Multi-agent Swarm,AutoGPT 3.0,Production,,0.842,13518,2.86
AGP-0101,Government,Assistant,CrewAI,Abandoned,Cost Overrun,0.576,5311,-0.64
AGP-0102,Technology,Assistant,LangGraph,Abandoned,Loop Error,0.686,5070,0.2
AGP-0103,Healthcare,Assistant,LangGraph,Pilot,Schema Drift,0.752,4314,0.22
AGP-0104,Telecom,Multi-agent Swarm,CrewAI,Pilot,Schema Drift,0.483,8391,-2.0
AGP-0105,Insurance,Autonomous,AutoGPT 3.0,Abandoned,Loop Error,0.249,5261,-0.87
AGP-0106,Technology,Autonomous,CrewAI,Abandoned,Security Violation,0.052,5771,-0.69
AGP-0107,Retail,Assistant,LangGraph,Abandoned,Loop Error,0.837,4825,0.05
AGP-0108,Healthcare,Autonomous,LangGraph,Pilot,Schema Drift,0.234,3890,0.78
AGP-0109,Finance,Assistant,CrewAI,Pilot,Security Violation,0.644,2517,0.42
AGP-0110,Government,Assistant,AutoGPT 3.0,Abandoned,Schema Drift,0.807,8431,-1.06
AGP-0111,Retail,Multi-agent Swarm,LangGraph,Abandoned,Cost Overrun,0.561,5279,-0.12
AGP-0112,Healthcare,Multi-agent Swarm,CrewAI,Abandoned,Security Violation,0.528,3852,-1.57
AGP-0113,Legal,Assistant,AutoGPT 3.0,Production,,0.838,3333,3.3
AGP-0114,Manufacturing,Multi-agent Swarm,AutoGPT 3.0,Pilot,Security Violation,0.546,5152,0.72
AGP-0115,Healthcare,Autonomous,LangGraph,Pilot,Security Violation,0.288,3380,1.22
AGP-0116,Energy,Assistant,AutoGPT 3.0,Abandoned,Security Violation,0.83,5720,-0.21
AGP-0117,Insurance,Autonomous,CrewAI,Pilot,Loop Error,0.213,4325,0.99
AGP-0118,Technology,Multi-agent Swarm,AutoGPT 3.0,Abandoned,Cost Overrun,0.744,17728,0.12
AGP-0119,Retail,Multi-agent Swarm,LangGraph,Abandoned,Cost Overrun,0.407,5028,-1.04
AGP-0120,Technology,Multi-agent Swarm,CrewAI,Abandoned,Security Violation,0.663,6722,-0.85
AGP-0121,Technology,Multi-agent Swarm,CrewAI,Pilot,Loop Error,0.662,7267,-0.06
AGP-0122,Technology,Multi-agent Swarm,LangGraph,Abandoned,Cost Overrun,0.31,6729,0.27
AGP-0123,Finance,Autonomous,CrewAI,Pilot,Cost Overrun,0.195,3967,0.43
AGP-0124,Retail,Multi-agent Swarm,CrewAI,Pilot,Cost Overrun,0.268,5507,0.46
AGP-0125,Finance,Assistant,CrewAI,Pilot,Cost Overrun,0.921,2406,0.43
AGP-0126,Manufacturing,Assistant,LangGraph,Pilot,Security Violation,0.784,5355,-0.51
AGP-0127,Legal,Assistant,CrewAI,Abandoned,Schema Drift,0.67,4234,-0.55
AGP-0128,Finance,Autonomous,LangGraph,Abandoned,Cost Overrun,0.098,2891,-0.67
AGP-0129,Finance,Autonomous,AutoGPT 3.0,Pilot,Security Violation,0.012,6308,0.77
AGP-0130,Technology,Autonomous,AutoGPT 3.0,Abandoned,Loop Error,0.043,12199,-1.48
AGP-0131,Healthcare,Autonomous,LangGraph,Production,,0.078,2721,3.83
AGP-0132,Government,Assistant,LangGraph,Abandoned,Cost Overrun,0.969,5865,-0.16
AGP-0133,Technology,Multi-agent Swarm,LangGraph,Abandoned,Cost Overrun,0.236,6228,-0.64
AGP-0134,Legal,Assistant,CrewAI,Production,,0.893,6632,2.47
AGP-0135,Technology,Assistant,AutoGPT 3.0,Pilot,Schema Drift,0.326,5770,-0.03
AGP-0136,Finance,Assistant,CrewAI,Pilot,Schema Drift,0.779,3386,1.09
AGP-0137,Telecom,Assistant,LangGraph,Pilot,Schema Drift,0.853,5490,-0.2
AGP-0138,Retail,Autonomous,LangGraph,Abandoned,Schema Drift,0.29,3377,-0.5
AGP-0139,Insurance,Multi-agent Swarm,LangGraph,Pilot,Schema Drift,0.299,7165,0.72
AGP-0140,Finance,Autonomous,AutoGPT 3.0,Pilot,Loop Error,0.167,7987,0.9
AGP-0141,Retail,Assistant,CrewAI,Pilot,Schema Drift,0.796,2219,1.63
AGP-0142,Manufacturing,Multi-agent Swarm,CrewAI,Abandoned,Security Violation,0.523,5238,-0.55
AGP-0143,Government,Assistant,LangGraph,Pilot,Schema Drift,0.828,1945,2.72
AGP-0144,Manufacturing,Multi-agent Swarm,AutoGPT 3.0,Abandoned,Cost Overrun,0.751,6347,-0.79
AGP-0145,Retail,Autonomous,LangGraph,Abandoned,Security Violation,0.532,4698,-0.79
AGP-0146,Healthcare,Multi-agent Swarm,AutoGPT 3.0,Pilot,Schema Drift,0.405,8944,-0.8
AGP-0147,Legal,Assistant,AutoGPT 3.0,Pilot,Loop Error,0.909,8226,-1.24
AGP-0148,Manufacturing,Multi-agent Swarm,CrewAI,Pilot,Loop Error,0.899,5401,0.12
AGP-0149,Retail,Assistant,AutoGPT 3.0,Pilot,Loop Error,0.732,6008,-0.22
AGP-0150,Finance,Multi-agent Swarm,LangGraph,Abandoned,Cost Overrun,0.787,5377,-0.12
AGP-0151,Energy,Multi-agent Swarm,CrewAI,Abandoned,Loop Error,0.548,5758,-0.3
AGP-0152,Government,Assistant,LangGraph,Pilot,Loop Error,0.872,3740,0.07
AGP-0153,Finance,Multi-agent Swarm,CrewAI,Pilot,Cost Overrun,0.356,6501,-0.45
AGP-0154,Manufacturing,Assistant,LangGraph,Pilot,Schema Drift,0.504,2421,-0.07
AGP-0155,Finance,Assistant,LangGraph,Pilot,Schema Drift,0.39,3436,1.68
AGP-0156,Technology,Multi-agent Swarm,LangGraph,Abandoned,Security Violation,0.226,4486,0.21
AGP-0157,Healthcare,Assistant,LangGraph,Abandoned,Cost Overrun,0.883,3802,-0.78
AGP-0158,Technology,Assistant,CrewAI,Abandoned,Schema Drift,0.789,3940,-0.66
AGP-0159,Technology,Autonomous,CrewAI,Pilot,Loop Error,0.296,4389,1.03
AGP-0160,Insurance,Autonomous,LangGraph,Production,,0.465,4639,2.27
AGP-0161,Finance,Multi-agent Swarm,AutoGPT 3.0,Pilot,Security Violation,0.605,9638,-0.53
AGP-0162,Government,Assistant,AutoGPT 3.0,Abandoned,Schema Drift,0.733,1370,-1.32
AGP-0163,Healthcare,Assistant,LangGraph,Production,,0.99,2364,1.0
AGP-0164,Finance,Autonomous,LangGraph,Abandoned,Schema Drift,0.142,1935,-0.47
AGP-0165,Manufacturing,Assistant,CrewAI,Pilot,Cost Overrun,0.745,500,1.41
AGP-0166,Retail,Multi-agent Swarm,CrewAI,Pilot,Loop Error,0.433,5350,0.98
AGP-0167,Energy,Multi-agent Swarm,LangGraph,Abandoned,Cost Overrun,0.193,5495,-0.83
AGP-0168,Energy,Autonomous,CrewAI,Pilot,Security Violation,0.261,3142,1.2
AGP-0169,Legal,Assistant,LangGraph,Production,,0.99,2387,2.77
AGP-0170,Telecom,Assistant,LangGraph,Pilot,Schema Drift,0.25,3375,-0.04
AGP-0171,Legal,Assistant,CrewAI,Abandoned,Cost Overrun,0.774,3941,-0.47
AGP-0172,Manufacturing,Assistant,CrewAI,Pilot,Cost Overrun,0.543,3520,0.83
AGP-0173,Healthcare,Assistant,AutoGPT 3.0,Abandoned,Cost Overrun,0.707,8885,-1.18
AGP-0174,Government,Assistant,LangGraph,Pilot,Cost Overrun,0.593,4852,0.21
AGP-0175,Healthcare,Assistant,LangGraph,Pilot,Security Violation,0.717,4655,-0.03
AGP-0176,Finance,Assistant,LangGraph,Production,,0.94,3286,2.84
AGP-0177,Retail,Assistant,LangGraph,Pilot,Cost Overrun,0.65,4481,0.07
AGP-0178,Telecom,Multi-agent Swarm,LangGraph,Abandoned,Loop Error,0.866,6980,-1.18
AGP-0179,Government,Assistant,CrewAI,Abandoned,Schema Drift,0.718,4584,0.7
AGP-0180,Insurance,Autonomous,CrewAI,Abandoned,Loop Error,0.028,6717,0.14
AGP-0181,Government,Multi-agent Swarm,CrewAI,Abandoned,Cost Overrun,0.439,8709,-1.01
AGP-0182,Government,Multi-agent Swarm,LangGraph,Abandoned,Cost Overrun,0.296,5068,-0.39
AGP-0183,Manufacturing,Autonomous,LangGraph,Pilot,Schema Drift,0.205,4617,0.46
AGP-0184,Legal,Assistant,CrewAI,Abandoned,Security Violation,0.729,4111,-1.07
AGP-0185,Insurance,Autonomous,LangGraph,Pilot,Security Violation,0.317,5336,0.19
AGP-0186,Technology,Assistant,AutoGPT 3.0,Abandoned,Security Violation,0.682,5907,-0.37
AGP-0187,Retail,Autonomous,LangGraph,Production,,0.772,1868,3.34
AGP-0188,Finance,Assistant,CrewAI,Production,,0.711,4954,2.39
AGP-0189,Insurance,Autonomous,AutoGPT 3.0,Pilot,Security Violation,0.064,1802,0.45
AGP-0190,Healthcare,Assistant,CrewAI,Pilot,Schema Drift,0.498,2926,-0.67
AGP-0191,Government,Multi-agent Swarm,CrewAI,Pilot,Cost Overrun,0.435,3093,1.5
AGP-0192,Healthcare,Assistant,CrewAI,Pilot,Cost Overrun,0.902,4932,0.89
AGP-0193,Finance,Multi-agent Swarm,LangGraph,Pilot,Security Violation,0.551,3448,0.64
AGP-0194,Energy,Multi-agent Swarm,CrewAI,Pilot,Schema Drift,0.533,5152,0.93
AGP-0195,Finance,Multi-agent Swarm,AutoGPT 3.0,Pilot,Cost Overrun,0.684,12496,0.85
AGP-0196,Healthcare,Autonomous,AutoGPT 3.0,Abandoned,Loop Error,0.136,5150,0.36
AGP-0197,Technology,Multi-agent Swarm,CrewAI,Pilot,Schema Drift,0.538,8503,0.75
AGP-0198,Government,Autonomous,LangGraph,Abandoned,Loop Error,0.276,3537,-0.4
AGP-0199,Healthcare,Assistant,AutoGPT 3.0,Pilot,Cost Overrun,0.782,6274,1.7
AGP-0200,Legal,Multi-agent Swarm,CrewAI,Production,,0.804,3987,3.12
AGP-0201,Insurance,Assistant,LangGraph,Pilot,Loop Error,0.827,2948,1.53
AGP-0202,Telecom,Assistant,LangGraph,Production,,0.763,4882,1.66
AGP-0203,Manufacturing,Assistant,LangGraph,Production,,0.853,1799,2.11
AGP-0204,Finance,Multi-agent Swarm,CrewAI,Abandoned,Security Violation,0.787,5169,-0.56
AGP-0205,Finance,Assistant,LangGraph,Pilot,Loop Error,0.555,2772,1.09
AGP-0206,Healthcare,Assistant,LangGraph,Pilot,Cost Overrun,0.658,5051,1.34
AGP-0207,Finance,Multi-agent Swarm,LangGraph,Pilot,Schema Drift,0.424,7694,0.01
AGP-0208,Technology,Autonomous,AutoGPT 3.0,Pilot,Schema Drift,0.078,6069,0.74
AGP-0209,Finance,Autonomous,LangGraph,Pilot,Schema Drift,0.213,2851,0.81
AGP-0210,Manufacturing,Assistant,LangGraph,Production,,0.854,2923,2.81
AGP-0211,Technology,Multi-agent Swarm,CrewAI,Pilot,Cost Overrun,0.326,6964,1.24
AGP-0212,Technology,Autonomous,LangGraph,Abandoned,Cost Overrun,0.052,2539,-0.13
AGP-0213,Healthcare,Autonomous,AutoGPT 3.0,Pilot,Cost Overrun,0.07,5336,0.22
AGP-0214,Energy,Autonomous,AutoGPT 3.0,Pilot,Cost Overrun,0.341,7707,0.24
AGP-0215,Technology,Multi-agent Swarm,LangGraph,Pilot,Security Violation,0.465,5345,1.42
AGP-0216,Insurance,Autonomous,CrewAI,Pilot,Schema Drift,0.52,5301,0.22
AGP-0217,Finance,Assistant,LangGraph,Production,,0.553,3903,3.67
AGP-0218,Finance,Multi-agent Swarm,LangGraph,Abandoned,Cost Overrun,0.846,4508,0.44
AGP-0219,Government,Autonomous,LangGraph,Abandoned,Loop Error,0.386,3139,0.98
AGP-0220,Retail,Assistant,LangGraph,Pilot,Schema Drift,0.534,4078,1.14
AGP-0221,Legal,Assistant,LangGraph,Pilot,Security Violation,0.587,3780,-0.22
AGP-0222,Retail,Multi-agent Swarm,CrewAI,Abandoned,Schema Drift,0.766,6785,-0.67
AGP-0223,Technology,Assistant,LangGraph,Pilot,Loop Error,0.672,3658,-0.71
AGP-0224,Telecom,Assistant,LangGraph,Pilot,Loop Error,0.832,3887,1.35
AGP-0225,Healthcare,Autonomous,CrewAI,Abandoned,Loop Error,0.208,2528,-1.4
AGP-0226,Government,Assistant,CrewAI,Pilot,Loop Error,0.847,4735,-0.44
AGP-0227,Finance,Multi-agent Swarm,LangGraph,Pilot,Loop Error,0.133,4001,1.27
AGP-0228,Manufacturing,Autonomous,LangGraph,Pilot,Cost Overrun,0.225,2646,0.43
AGP-0229,Technology,Assistant,LangGraph,Production,,0.663,3993,2.96
AGP-0230,Finance,Multi-agent Swarm,LangGraph,Pilot,Cost Overrun,0.191,7402,-0.38
AGP-0231,Finance,Autonomous,AutoGPT 3.0,Abandoned,Loop Error,0.238,8250,-0.42
AGP-0232,Retail,Autonomous,AutoGPT 3.0,Pilot,Loop Error,0.837,4916,1.42
AGP-0233,Telecom,Assistant,LangGraph,Pilot,Loop Error,0.572,2806,0.49
AGP-0234,Technology,Autonomous,LangGraph,Pilot,Cost Overrun,0.314,2521,-0.96
AGP-0235,Government,Autonomous,CrewAI,Abandoned,Schema Drift,0.338,1942,-1.39
AGP-0236,Energy,Assistant,CrewAI,Pilot,Cost Overrun,0.581,2357,0.14
AGP-0237,Retail,Autonomous,LangGraph,Abandoned,Schema Drift,0.195,3497,-1.43
AGP-0238,Insurance,Assistant,LangGraph,Pilot,Cost Overrun,0.791,3883,2.3
AGP-0239,Finance,Assistant,CrewAI,Pilot,Schema Drift,0.884,5424,1.16
AGP-0240,Finance,Assistant,CrewAI,Pilot,Loop Error,0.864,5085,-0.95
AGP-0241,Energy,Autonomous,LangGraph,Production,,0.216,4122,2.99
AGP-0242,Insurance,Multi-agent Swarm,LangGraph,Pilot,Loop Error,0.317,5619,2.17
AGP-0243,Healthcare,Autonomous,LangGraph,Abandoned,Loop Error,0.303,3822,0.58
AGP-0244,Manufacturing,Multi-agent Swarm,LangGraph,Abandoned,Loop Error,0.335,6407,-0.21
AGP-0245,Technology,Assistant,CrewAI,Abandoned,Schema Drift,0.526,6420,-0.38
AGP-0246,Government,Multi-agent Swarm,CrewAI,Production,,0.582,3486,2.4
AGP-0247,Technology,Autonomous,CrewAI,Production,,0.147,3128,2.05
AGP-0248,Retail,Autonomous,LangGraph,Abandoned,Schema Drift,0.095,2531,0.15
AGP-0249,Retail,Assistant,LangGraph,Pilot,Loop Error,0.649,3612,0.85
AGP-0250,Retail,Autonomous,AutoGPT 3.0,Abandoned,Security Violation,0.183,2043,-0.24
AGP-0251,Technology,Autonomous,CrewAI,Abandoned,Loop Error,0.123,5632,-0.4
AGP-0252,Government,Assistant,LangGraph,Pilot,Loop Error,0.505,3412,-0.27
AGP-0253,Retail,Multi-agent Swarm,LangGraph,Abandoned,Loop Error,0.635,5986,-1.13
AGP-0254,Healthcare,Autonomous,AutoGPT 3.0,Abandoned,Loop Error,0.319,10018,-1.27
AGP-0255,Healthcare,Multi-agent Swarm,AutoGPT 3.0,Pilot,Loop Error,0.36,10534,-0.19
AGP-0256,Insurance,Multi-agent Swarm,AutoGPT 3.0,Abandoned,Loop Error,0.266,7583,-1.81
AGP-0257,Energy,Multi-agent Swarm,CrewAI,Pilot,Schema Drift,0.752,8045,0.41
AGP-0258,Finance,Assistant,CrewAI,Pilot,Schema Drift,0.755,5476,-0.08
AGP-0259,Finance,Assistant,CrewAI,Pilot,Cost Overrun,0.861,1442,0.43
AGP-0260,Technology,Assistant,LangGraph,Production,,0.665,5078,3.07
AGP-0261,Finance,Assistant,CrewAI,Pilot,Cost Overrun,0.471,3479,-0.74
AGP-0262,Energy,Multi-agent Swarm,CrewAI,Abandoned,Loop Error,0.211,7064,-1.49
AGP-0263,Legal,Autonomous,LangGraph,Pilot,Cost Overrun,0.392,2030,0.19
AGP-0264,Finance,Autonomous,AutoGPT 3.0,Pilot,Cost Overrun,0.48,6581,0.05
AGP-0265,Government,Autonomous,LangGraph,Abandoned,Security Violation,0.499,4327,0.12
AGP-0266,Healthcare,Multi-agent Swarm,LangGraph,Pilot,Cost Overrun,0.536,8355,-0.26
AGP-0267,Healthcare,Assistant,LangGraph,Abandoned,Security Violation,0.784,848,-1.31
AGP-0268,Finance,Assistant,AutoGPT 3.0,Pilot,Cost Overrun,0.567,5397,0.28
AGP-0269,Finance,Multi-agent Swarm,AutoGPT 3.0,Abandoned,Cost Overrun,0.562,15166,-0.93
AGP-0270,Finance,Multi-agent Swarm,CrewAI,Abandoned,Cost Overrun,0.368,10075,-1.68
AGP-0271,Finance,Autonomous,AutoGPT 3.0,Pilot,Cost Overrun,0.393,4984,0.12
AGP-0272,Healthcare,Multi-agent Swarm,AutoGPT 3.0,Pilot,Schema Drift,0.557,6799,1.38
AGP-0273,Finance,Multi-agent Swarm,AutoGPT 3.0,Pilot,Cost Overrun,0.099,8809,-0.58
AGP-0274,Technology,Autonomous,AutoGPT 3.0,Abandoned,Loop Error,0.179,10579,-0.88
AGP-0275,Technology,Multi-agent Swarm,LangGraph,Abandoned,Cost Overrun,0.825,4206,-0.23
AGP-0276,Retail,Assistant,AutoGPT 3.0,Pilot,Security Violation,0.315,5372,0.1
AGP-0277,Legal,Assistant,CrewAI,Pilot,Schema Drift,0.566,1830,0.92
AGP-0278,Manufacturing,Assistant,CrewAI,Abandoned,Cost Overrun,0.681,5568,-0.87
AGP-0279,Government,Autonomous,LangGraph,Pilot,Schema Drift,0.368,6013,-0.6
AGP-0280,Energy,Autonomous,CrewAI,Abandoned,Security Violation,0.177,2204,-1.19
AGP-0281,Finance,Autonomous,AutoGPT 3.0,Abandoned,Security Violation,0.472,4884,-0.33
AGP-0282,Healthcare,Autonomous,LangGraph,Pilot,Security Violation,0.539,4162,1.95
AGP-0283,Healthcare,Assistant,AutoGPT 3.0,Pilot,Security Violation,0.586,7996,-0.71
AGP-0284,Healthcare,Assistant,LangGraph,Pilot,Cost Overrun,0.789,2568,1.9
AGP-0285,Manufacturing,Autonomous,LangGraph,Pilot,Loop Error,0.221,1999,-0.91
AGP-0286,Retail,Assistant,LangGraph,Abandoned,Cost Overrun,0.803,2716,0.03
